sl_no,charger_code,station_name,charger_model,area,source_page,raw_text,parse_status
1,BESCOR01,BESCOM Corporate Office,GB/TIECACCOMBO,Unknown,1,1 BESCOR01 BESCOM Corporate Office GB/TIECACCOMBO,parsed
2,BESKABLRAC00041,BESCOM Corporate Office,IECAC10KW,Unknown,1,2 BESKABLRAC00041 BESCOM Corporate Office IECAC10KW,parsed
3,BESCOR03,BESCOM Corporate Office,CCSCHADEMOCOMBO,Unknown,1,3 BESCOR03 BESCOM Corporate Office CCSCHADEMOCOMBO,parsed
4,BESBAN001,BESCOM Banaswadi,GB/TIECACCOMBO,Unknown,1,4 BESBAN001 BESCOM Banaswadi GB/TIECACCOMBO,parsed
5,BESIND02,BESCOM Indiranagar,CCSCHADEMOCOMBO,Indiranagar,1,5 BESIND02 BESCOM Indiranagar CCSCHADEMOCOMBO,parsed
6,BESIND01,BESCOM Indiranagar,GB/TIECACCOMBO,Indiranagar,1,6 BESIND01 BESCOM Indiranagar GB/TIECACCOMBO,parsed
7,BESHSR001,BESCOM HSR Layout,GB/TIECACCOMBO,HSR Layout,1,7 BESHSR001 BESCOM HSR Layout GB/TIECACCOMBO,parsed
8,BESHSR002,BESCOM HSR Layout,CCSCHADEMOCOMBO,HSR Layout,1,8 BESHSR002 BESCOM HSR Layout CCSCHADEMOCOMBO,parsed
9,BESBYA001,BESCOM Byatarayanapura,GB/TIECACCOMBO,Unknown,1,9 BESBYA001 BESCOM Byatarayanapura GB/TIECACCOMBO,parsed
10,BESBYA002,BESCOM Byatarayanapura,CCSCHADEMOCOMBO,Unknown,1,10 BESBYA002 BESCOM Byatarayanapura CCSCHADEMOCOMBO,parsed
11,BESBTM001,BESCOM BTM layout,GB/TIECACCOMBO,BTM Layout,1,11 BESBTM001 BESCOM BTM layout GB/TIECACCOMBO,parsed
12,BESBTM002,BESCOM BTM layout,CCSCHADEMOCOMBO,BTM Layout,1,12 BESBTM002 BESCOM BTM layout CCSCHADEMOCOMBO,parsed
13,BESBAN002,BESCOM Banaswadi,CCSCHADEMOCOMBO,Unknown,1,13 BESBAN002 BESCOM Banaswadi CCSCHADEMOCOMBO,parsed
14,BESCOR04,BESCOM Corporate Office,GB/TIECACCOMBO,Unknown,1,14 BESCOR04 BESCOM Corporate Office GB/TIECACCOMBO,parsed
15,BESCOR02,BESCOM Corporate Office,GB/TIECACCOMBO,Unknown,1,15 BESCOR02 BESCOM Corporate Office GB/TIECACCOMBO,parsed
16,BESYAL001,BESCOM Yalhanka,GB/TIECACCOMBO,Yelahanka,1,16 BESYAL001 BESCOM Yalhanka GB/TIECACCOMBO,parsed
17,BESYAL002,BESCOM Yalhanka,CCSCHADEMOCOMBO,Yelahanka,1,17 BESYAL002 BESCOM Yalhanka CCSCHADEMOCOMBO,parsed
18,BESPEE001,BESCOM Peenya,GB/TIECACCOMBO,Peenya,1,18 BESPEE001 BESCOM Peenya GB/TIECACCOMBO,parsed
19,BESPEE002,BESCOM Peenya,CCSCHADEMOCOMBO,Peenya,1,19 BESPEE002 BESCOM Peenya CCSCHADEMOCOMBO,parsed
20,BESMUR001,BESCOM Murugeshpalya,GB/TIECACCOMBO,Unknown,1,20 BESMUR001 BESCOM Murugeshpalya GB/TIECACCOMBO,parsed
21,BESMAT001,BESCOM Mathikere,GB/TIECACCOMBO,Unknown,1,21 BESMAT001 BESCOM Mathikere GB/TIECACCOMBO,parsed
22,BESMAH001,BESCOM Mahadevpura,GB/TIECACCOMBO,Mahadevpura,1,22 BESMAH001 BESCOM Mahadevpura GB/TIECACCOMBO,parsed
23,BESMAH002,BESCOM Mahadevpura,CCSCHADEMOCOMBO,Mahadevpura,1,23 BESMAH002 BESCOM Mahadevpura CCSCHADEMOCOMBO,parsed
24,BESKAT001,BESCOM Katriguppe,GB/TIECACCOMBO,Unknown,1,24 BESKAT001 BESCOM Katriguppe GB/TIECACCOMBO,parsed
