zone_id,zone_name,peak_hour,original_risk_level,original_ev_load_kw,original_total_load_kw,original_load_ratio,recommended_shift_percent,shifted_load_kw,allocated_shift_kw,unallocated_shift_kw,recommended_offpeak_hours,feasibility_status,expected_peak_load_reduction_kw,expected_peak_load_reduction_percent,recommendation_text,explanation
Z001,Whitefield,17,Critical,703.63,1511.16,1.156,0.35,246.27,246.27,0.0,05:00,Feasible,246.27,16.3,Shift 35% of EV charging from 17:00 to off-peak hours 05:00.,Whitefield at 17:00 is Critical because load reaches 115.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z001,Whitefield,18,Critical,685.34,1600.05,1.224,0.35,239.87,239.87,0.0,03:00,Feasible,239.87,14.99,Shift 35% of EV charging from 18:00 to off-peak hours 03:00.,Whitefield at 18:00 is Critical because load reaches 122.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z001,Whitefield,19,Critical,676.21,1569.97,1.201,0.35,236.67,236.67,0.0,01:00,Feasible,236.67,15.07,Shift 35% of EV charging from 19:00 to off-peak hours 01:00.,Whitefield at 19:00 is Critical because load reaches 120.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z001,Whitefield,20,Critical,676.26,1585.33,1.213,0.35,236.69,236.69,0.0,04:00,Feasible,236.69,14.93,Shift 35% of EV charging from 20:00 to off-peak hours 04:00.,Whitefield at 20:00 is Critical because load reaches 121.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z001,Whitefield,21,Critical,680.03,1603.93,1.227,0.35,238.01,238.01,0.0,00:00,Feasible,238.01,14.84,Shift 35% of EV charging from 21:00 to off-peak hours 00:00.,Whitefield at 21:00 is Critical because load reaches 122.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z001,Whitefield,22,Critical,627.84,1520.13,1.163,0.35,219.74,219.74,0.0,02:00,Feasible,219.74,14.46,Shift 35% of EV charging from 22:00 to off-peak hours 02:00.,Whitefield at 22:00 is Critical because load reaches 116.3% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,17,Critical,701.21,1767.51,1.107,0.35,245.42,245.42,0.0,04:00,Feasible,245.42,13.89,Shift 35% of EV charging from 17:00 to off-peak hours 04:00.,Indiranagar at 17:00 is Critical because load reaches 110.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,18,Critical,716.1,1766.23,1.106,0.35,250.63,250.63,0.0,01:00,Feasible,250.63,14.19,Shift 35% of EV charging from 18:00 to off-peak hours 01:00.,Indiranagar at 18:00 is Critical because load reaches 110.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,19,Critical,778.08,1876.72,1.175,0.35,272.33,272.33,0.0,05:00,Feasible,272.33,14.51,Shift 35% of EV charging from 19:00 to off-peak hours 05:00.,Indiranagar at 19:00 is Critical because load reaches 117.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,20,Critical,779.72,1877.13,1.175,0.35,272.9,272.9,0.0,03:00,Feasible,272.9,14.54,Shift 35% of EV charging from 20:00 to off-peak hours 03:00.,Indiranagar at 20:00 is Critical because load reaches 117.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,21,Critical,830.15,1822.49,1.141,0.35,290.55,290.55,0.0,02:00,Feasible,290.55,15.94,Shift 35% of EV charging from 21:00 to off-peak hours 02:00.,Indiranagar at 21:00 is Critical because load reaches 114.1% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z002,Indiranagar,22,Critical,759.07,1894.43,1.186,0.35,265.67,265.67,0.0,00:00,Feasible,265.67,14.02,Shift 35% of EV charging from 22:00 to off-peak hours 00:00.,Indiranagar at 22:00 is Critical because load reaches 118.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,17,Critical,623.62,1921.22,1.049,0.35,218.27,218.27,0.0,04:00,Feasible,218.27,11.36,Shift 35% of EV charging from 17:00 to off-peak hours 04:00.,Koramangala at 17:00 is Critical because load reaches 104.9% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,18,Critical,612.86,1914.56,1.045,0.35,214.5,214.5,0.0,00:00,Feasible,214.5,11.2,Shift 35% of EV charging from 18:00 to off-peak hours 00:00.,Koramangala at 18:00 is Critical because load reaches 104.5% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,19,Critical,596.53,2083.55,1.137,0.35,208.79,208.79,0.0,01:00,Feasible,208.79,10.02,Shift 35% of EV charging from 19:00 to off-peak hours 01:00.,Koramangala at 19:00 is Critical because load reaches 113.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,20,Critical,621.55,1879.63,1.026,0.35,217.54,217.54,0.0,03:00,Feasible,217.54,11.57,Shift 35% of EV charging from 20:00 to off-peak hours 03:00.,Koramangala at 20:00 is Critical because load reaches 102.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,21,Critical,576.99,1993.7,1.088,0.35,201.95,201.95,0.0,05:00,Feasible,201.95,10.13,Shift 35% of EV charging from 21:00 to off-peak hours 05:00.,Koramangala at 21:00 is Critical because load reaches 108.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z003,Koramangala,22,Critical,572.48,1993.16,1.088,0.35,200.37,200.37,0.0,02:00,Feasible,200.37,10.05,Shift 35% of EV charging from 22:00 to off-peak hours 02:00.,Koramangala at 22:00 is Critical because load reaches 108.8% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,17,Critical,381.19,2191.2,1.096,0.35,133.42,133.42,0.0,01:00,Feasible,133.42,6.09,Shift 35% of EV charging from 17:00 to off-peak hours 01:00.,MG Road at 17:00 is Critical because load reaches 109.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,18,Critical,378.14,2148.63,1.074,0.35,132.35,132.35,0.0,05:00,Feasible,132.35,6.16,Shift 35% of EV charging from 18:00 to off-peak hours 05:00.,MG Road at 18:00 is Critical because load reaches 107.4% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,19,Critical,384.77,2153.57,1.077,0.35,134.67,134.67,0.0,01:00,Feasible,134.67,6.25,Shift 35% of EV charging from 19:00 to off-peak hours 01:00.,MG Road at 19:00 is Critical because load reaches 107.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,20,Critical,351.46,2060.27,1.03,0.35,123.01,123.01,0.0,00:00,Feasible,123.01,5.97,Shift 35% of EV charging from 20:00 to off-peak hours 00:00.,MG Road at 20:00 is Critical because load reaches 103.0% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,22,High,220.38,1892.88,0.946,0.25,55.09,55.09,0.0,04:00,Feasible,55.09,2.91,Shift 25% of EV charging from 22:00 to off-peak hours 04:00.,MG Road at 22:00 is High because load reaches 94.6% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
Z005,MG Road,21,High,267.29,1853.56,0.927,0.25,66.82,66.82,0.0,03:00,Feasible,66.82,3.6,Shift 25% of EV charging from 21:00 to off-peak hours 03:00.,MG Road at 21:00 is High because load reaches 92.7% of transformer capacity. Shifting charging demand reduces peak stress while keeping off-peak load below 90% capacity where feasible.
