zone_id,zone_name,day_index,day_type,is_weekend,weather_condition,temperature_c,hour,time_period,is_peak_hour,zone_type,ev_count_estimate,traffic_score,traffic_score_hourly,existing_chargers,charger_utilization_proxy,demand_growth_rate,transformer_capacity_kw,base_grid_load_kw,synthetic_ev_load_kw,synthetic_total_load_kw,synthetic_load_ratio,synthetic_risk_level
Z001,Whitefield,1,Weekday,False,Hot,31.92,0,Night,False,mixed,4770,90,52.5,2,0.341,0.324,1307,593.99,173.23,767.22,0.587,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,1,Night,False,mixed,4770,90,50.01,2,0.341,0.324,1307,608.97,165.09,774.06,0.592,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,2,Night,False,mixed,4770,90,53.02,2,0.341,0.324,1307,632.75,244.56,877.3,0.671,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,3,Night,False,mixed,4770,90,51.37,2,0.341,0.324,1307,514.55,209.4,723.95,0.554,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,4,Night,False,mixed,4770,90,53.01,2,0.341,0.324,1307,582.89,244.87,827.75,0.633,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,5,Night,False,mixed,4770,90,54.39,2,0.341,0.324,1307,627.06,243.37,870.44,0.666,Low
Z001,Whitefield,1,Weekday,False,Hot,31.92,6,Morning,False,mixed,4770,90,100.0,2,0.341,0.324,1307,653.19,390.59,1043.78,0.799,Medium
Z001,Whitefield,1,Weekday,False,Hot,31.92,7,Morning,False,mixed,4770,90,100.0,2,0.341,0.324,1307,823.45,399.14,1222.59,0.935,High
Z001,Whitefield,1,Weekday,False,Hot,31.92,8,Morning,False,mixed,4770,90,100.0,2,0.341,0.324,1307,680.04,376.9,1056.94,0.809,Medium
Z001,Whitefield,1,Weekday,False,Hot,31.92,9,Morning,False,mixed,4770,90,95.7,2,0.341,0.324,1307,768.58,434.34,1202.92,0.92,High
Z001,Whitefield,1,Weekday,False,Hot,31.92,10,Day,False,mixed,4770,90,85.32,2,0.341,0.324,1307,743.98,635.94,1379.92,1.056,Critical
Z001,Whitefield,1,Weekday,False,Hot,31.92,11,Day,False,mixed,4770,90,90.47,2,0.341,0.324,1307,739.92,561.25,1301.16,0.996,High
Z001,Whitefield,1,Weekday,False,Hot,31.92,12,Day,False,mixed,4770,90,92.72,2,0.341,0.324,1307,692.44,628.9,1321.35,1.011,Critical
