zone_id,zone_name,hour,time_period,is_peak_hour,zone_type,ev_count_estimate,traffic_score,existing_chargers,demand_growth_rate,transformer_capacity_kw,base_grid_load_kw,predicted_ev_load_kw,total_load_kw,load_ratio_after_ev,risk_level
Z001,Whitefield,0,Night,False,mixed,4770,90,2,0.324,1307,618.08,224.43,842.51,0.645,Low
Z001,Whitefield,1,Night,False,mixed,4770,90,2,0.324,1307,606.32,187.18,793.49,0.607,Low
Z001,Whitefield,2,Night,False,mixed,4770,90,2,0.324,1307,616.11,240.95,857.06,0.656,Low
Z001,Whitefield,3,Night,False,mixed,4770,90,2,0.324,1307,568.38,218.36,786.74,0.602,Low
Z001,Whitefield,4,Night,False,mixed,4770,90,2,0.324,1307,598.1,255.2,853.3,0.653,Low
Z001,Whitefield,5,Night,False,mixed,4770,90,2,0.324,1307,534.1,214.68,748.78,0.573,Low
Z001,Whitefield,6,Morning,False,mixed,4770,90,2,0.324,1307,779.92,396.15,1176.07,0.9,Medium
Z001,Whitefield,7,Morning,False,mixed,4770,90,2,0.324,1307,707.26,442.19,1149.45,0.879,Medium
Z001,Whitefield,8,Morning,False,mixed,4770,90,2,0.324,1307,772.36,333.68,1106.04,0.846,Medium
Z001,Whitefield,9,Morning,False,mixed,4770,90,2,0.324,1307,659.53,338.39,997.92,0.764,Medium
Z001,Whitefield,10,Day,False,mixed,4770,90,2,0.324,1307,805.6,553.77,1359.36,1.04,Critical
Z001,Whitefield,11,Day,False,mixed,4770,90,2,0.324,1307,748.1,464.5,1212.6,0.928,High
Z001,Whitefield,12,Day,False,mixed,4770,90,2,0.324,1307,711.16,467.81,1178.96,0.902,High
Z001,Whitefield,13,Day,False,mixed,4770,90,2,0.324,1307,794.08,498.74,1292.83,0.989,High
Z001,Whitefield,14,Day,False,mixed,4770,90,2,0.324,1307,798.76,477.12,1275.88,0.976,High
Z001,Whitefield,15,Day,False,mixed,4770,90,2,0.324,1307,814.81,457.37,1272.18,0.973,High
Z001,Whitefield,16,Day,False,mixed,4770,90,2,0.324,1307,796.03,412.5,1208.53,0.925,High
Z001,Whitefield,17,Evening Peak,True,mixed,4770,90,2,0.324,1307,807.53,753.7,1561.23,1.195,Critical
Z001,Whitefield,18,Evening Peak,True,mixed,4770,90,2,0.324,1307,914.71,732.64,1647.35,1.26,Critical
Z001,Whitefield,19,Evening Peak,True,mixed,4770,90,2,0.324,1307,893.76,542.82,1436.58,1.099,Critical
Z001,Whitefield,20,Evening Peak,True,mixed,4770,90,2,0.324,1307,909.07,662.05,1571.11,1.202,Critical
Z001,Whitefield,21,Evening Peak,True,mixed,4770,90,2,0.324,1307,923.9,703.61,1627.51,1.245,Critical
Z001,Whitefield,22,Evening Peak,True,mixed,4770,90,2,0.324,1307,892.29,576.54,1468.83,1.124,Critical
Z001,Whitefield,23,Late Night,False,mixed,4770,90,2,0.324,1307,626.31,315.13,941.44,0.72,Low
Z002,Indiranagar,0,Night,False,residential,6123,85,4,0.284,1597,772.26,241.74,1014.0,0.635,Low
Z002,Indiranagar,1,Night,False,residential,6123,85,4,0.284,1597,664.61,269.1,933.7,0.585,Low
Z002,Indiranagar,2,Night,False,residential,6123,85,4,0.284,1597,716.48,331.23,1047.71,0.656,Low
Z002,Indiranagar,3,Night,False,residential,6123,85,4,0.284,1597,688.13,314.14,1002.27,0.628,Low
Z002,Indiranagar,4,Night,False,residential,6123,85,4,0.284,1597,615.92,245.19,861.11,0.539,Low
Z002,Indiranagar,5,Night,False,residential,6123,85,4,0.284,1597,698.58,247.26,945.84,0.592,Low
Z002,Indiranagar,6,Morning,False,residential,6123,85,4,0.284,1597,828.52,393.45,1221.96,0.765,Medium
Z002,Indiranagar,7,Morning,False,residential,6123,85,4,0.284,1597,871.56,353.04,1224.59,0.767,Medium
Z002,Indiranagar,8,Morning,False,residential,6123,85,4,0.284,1597,867.94,305.04,1172.99,0.734,Low
Z002,Indiranagar,9,Morning,False,residential,6123,85,4,0.284,1597,980.88,433.29,1414.17,0.886,Medium
