zone_id,zone_name,hour,time_period,transformer_capacity_kw,before_ev_load_kw,after_ev_load_kw,before_total_load_kw,after_total_load_kw,before_load_ratio,after_load_ratio,before_risk_level,after_risk_level
Z001,Whitefield,0,Night,1307,215.35,453.36,833.43,1071.44,0.638,0.82,Low,Medium
Z001,Whitefield,1,Night,1307,212.69,449.36,819.01,1055.68,0.627,0.808,Low,Medium
Z001,Whitefield,2,Night,1307,225.09,444.83,841.2,1060.94,0.644,0.812,Low,Medium
Z001,Whitefield,3,Night,1307,223.58,463.45,791.96,1031.83,0.606,0.789,Low,Medium
Z001,Whitefield,4,Night,1307,232.48,469.17,830.58,1067.27,0.635,0.817,Low,Medium
Z001,Whitefield,5,Night,1307,224.33,470.6,758.43,1004.7,0.58,0.769,Low,Medium
Z001,Whitefield,6,Morning,1307,389.64,389.64,1169.56,1169.56,0.895,0.895,Medium,Medium
Z001,Whitefield,7,Morning,1307,403.25,403.25,1110.51,1110.51,0.85,0.85,Medium,Medium
Z001,Whitefield,8,Morning,1307,366.92,366.92,1139.28,1139.28,0.872,0.872,Medium,Medium
Z001,Whitefield,9,Morning,1307,377.25,377.25,1036.78,1036.78,0.793,0.793,Medium,Medium
Z001,Whitefield,10,Day,1307,512.75,512.75,1318.35,1318.35,1.009,1.009,Critical,Critical
Z001,Whitefield,11,Day,1307,498.38,498.38,1246.48,1246.48,0.954,0.954,High,High
Z001,Whitefield,12,Day,1307,492.52,492.52,1203.68,1203.68,0.921,0.921,High,High
Z001,Whitefield,13,Day,1307,481.37,481.37,1275.45,1275.45,0.976,0.976,High,High
Z001,Whitefield,14,Day,1307,473.16,473.16,1271.92,1271.92,0.973,0.973,High,High
Z001,Whitefield,15,Day,1307,485.99,485.99,1300.8,1300.8,0.995,0.995,High,High
Z001,Whitefield,16,Day,1307,467.49,467.49,1263.52,1263.52,0.967,0.967,High,High
Z001,Whitefield,17,Evening Peak,1307,703.63,457.36,1511.16,1264.89,1.156,0.968,Critical,High
Z001,Whitefield,18,Evening Peak,1307,685.34,445.47,1600.05,1360.18,1.224,1.041,Critical,Critical
Z001,Whitefield,19,Evening Peak,1307,676.21,439.54,1569.97,1333.3,1.201,1.02,Critical,Critical
Z001,Whitefield,20,Evening Peak,1307,676.26,439.57,1585.33,1348.64,1.213,1.032,Critical,Critical
Z001,Whitefield,21,Evening Peak,1307,680.03,442.02,1603.93,1365.92,1.227,1.045,Critical,Critical
Z001,Whitefield,22,Evening Peak,1307,627.84,408.1,1520.13,1300.39,1.163,0.995,Critical,High
Z001,Whitefield,23,Late Night,1307,342.9,342.9,969.21,969.21,0.742,0.742,Low,Low
Z002,Indiranagar,0,Night,1597,265.75,531.42,1038.01,1303.68,0.65,0.816,Low,Medium
Z002,Indiranagar,1,Night,1597,285.76,536.39,950.37,1201.0,0.595,0.752,Low,Medium
Z002,Indiranagar,2,Night,1597,297.11,587.66,1013.59,1304.14,0.635,0.817,Low,Medium
Z002,Indiranagar,3,Night,1597,290.76,563.66,978.89,1251.79,0.613,0.784,Low,Medium
Z002,Indiranagar,4,Night,1597,258.64,504.06,874.56,1119.98,0.548,0.701,Low,Low
Z002,Indiranagar,5,Night,1597,266.85,539.18,965.43,1237.76,0.605,0.775,Low,Medium
Z002,Indiranagar,6,Morning,1597,356.67,356.67,1185.19,1185.19,0.742,0.742,Low,Low
Z002,Indiranagar,7,Morning,1597,358.14,358.14,1229.7,1229.7,0.77,0.77,Medium,Medium
Z002,Indiranagar,8,Morning,1597,354.5,354.5,1222.44,1222.44,0.765,0.765,Medium,Medium
Z002,Indiranagar,9,Morning,1597,362.08,362.08,1342.96,1342.96,0.841,0.841,Medium,Medium
Z002,Indiranagar,10,Day,1597,367.02,367.02,1263.96,1263.96,0.791,0.791,Medium,Medium
Z002,Indiranagar,11,Day,1597,339.68,339.68,1321.5,1321.5,0.827,0.827,Medium,Medium
Z002,Indiranagar,12,Day,1597,353.28,353.28,1218.32,1218.32,0.763,0.763,Medium,Medium
Z002,Indiranagar,13,Day,1597,344.1,344.1,1229.08,1229.08,0.77,0.77,Medium,Medium
Z002,Indiranagar,14,Day,1597,368.07,368.07,1248.24,1248.24,0.782,0.782,Medium,Medium
Z002,Indiranagar,15,Day,1597,360.14,360.14,1342.44,1342.44,0.841,0.841,Medium,Medium
Z002,Indiranagar,16,Day,1597,360.49,360.49,1317.32,1317.32,0.825,0.825,Medium,Medium
Z002,Indiranagar,17,Evening Peak,1597,701.21,455.79,1767.51,1522.09,1.107,0.953,Critical,High
Z002,Indiranagar,18,Evening Peak,1597,716.1,465.47,1766.23,1515.6,1.106,0.949,Critical,High
Z002,Indiranagar,19,Evening Peak,1597,778.08,505.75,1876.72,1604.39,1.175,1.005,Critical,Critical
Z002,Indiranagar,20,Evening Peak,1597,779.72,506.82,1877.13,1604.23,1.175,1.005,Critical,Critical
