zone_id,zone_name,latitude,longitude,zone_type,population_density,traffic_score,ev_count_estimate,demand_growth_rate,existing_chargers,charger_gap_score,charger_coverage_level
Z001,Whitefield,12.9698,77.75,mixed,8803,90,4770,0.324,2,2385.0,Low Coverage
Z002,Indiranagar,12.9719,77.6412,residential,12897,85,6123,0.284,4,1530.75,Low Coverage
Z003,Koramangala,12.9352,77.6245,mixed,9813,88,4428,0.317,0,4428.0,No Coverage
Z004,Electronic City,12.8452,77.6602,industrial,7415,82,3249,0.359,2,1624.5,Low Coverage
Z005,MG Road,12.9756,77.6068,commercial,10106,92,3921,0.19,2,1960.5,Low Coverage
Z006,Jayanagar,12.925,77.5938,residential,13503,75,5653,0.23,7,807.57,Medium Coverage
Z007,Hebbal,13.0358,77.597,mixed,15034,95,6348,0.299,1,6348.0,Low Coverage
Z008,Yelahanka,13.1007,77.5963,residential,13909,70,5700,0.132,7,814.29,Medium Coverage
Z009,BTM Layout,12.9166,77.6101,residential,9829,80,4896,0.109,3,1632.0,Low Coverage
Z010,Rajajinagar,12.9915,77.555,mixed,15725,78,6243,0.188,4,1560.75,Low Coverage
Z011,Marathahalli,12.9591,77.6974,mixed,9487,94,5029,0.315,0,5029.0,No Coverage
Z012,Banashankari,12.9255,77.5468,residential,9611,72,4968,0.225,1,4968.0,Low Coverage
Z013,HSR Layout,12.9116,77.6473,residential,15101,84,6651,0.223,9,739.0,Medium Coverage
Z014,KR Puram,13.0075,77.695,mixed,11275,87,5067,0.205,3,1689.0,Low Coverage
Z015,Malleshwaram,13.0031,77.5643,residential,13919,73,5545,0.196,2,2772.5,Low Coverage
Z016,Sarjapur Road,12.9081,77.6812,mixed,16303,90,6622,0.377,1,6622.0,Low Coverage
Z017,Peenya,13.0285,77.5197,industrial,5465,75,2491,0.157,10,249.1,Good Coverage
Z018,Majestic,12.9767,77.5713,commercial,6610,96,3666,0.161,0,3666.0,No Coverage
Z019,Bellandur,12.9358,77.6788,mixed,12166,93,5170,0.328,0,5170.0,No Coverage
Z020,Kengeri,12.9087,77.4871,residential,11972,68,4933,0.194,2,2466.5,Low Coverage
